,ch2_best,ch0_medium,ch1_worst
290,63390,66798,67931
291,63619,67020,68159
292,63843,67247,68388
293,64067,67468,68617
294,64302,67698,69081
295,64536,67931,69309
296,64762,68156,69539
297,64985,68387,69768
298,65211,68616,69989
299,65439,68847,70209
300,65666,69080,70430
301,65897,69307,70649
302,66121,69537,70863
303,66349,69767,71285
304,66578,69968,71498
305,66799,70209,71723
306,67024,70646,71943
307,67248,70859,72154
308,67469,71071,72369
309,67701,71283,72810
310,67932,71496,73026
311,68158,71718,73251
312,68387,71938,73467
313,68618,72151,73683
314,68850,72366,73899
315,69081,72588,74123
316,69307,72807,74355
317,69538,73024,74586
318,69768,73246,74804
319,69989,73465,75024
320,70210,73682,75243
321,70430,73897,75459
322,70647,74121,75687
323,70862,74354,75904
324,71075,74583,76119
325,71284,74804,76335
326,71498,75022,76527
327,71722,75243,76775
328,71940,75459,76988
329,72152,75687,77199
330,72368,76334,77411
331,72591,76552,77624
332,72808,76770,77833
333,73026,76985,78043
334,73250,77198,78261
335,73466,77410,78478
336,73683,77624,78692
337,73899,77833,78913
338,74123,78044,79127
339,74355,78261,79344
340,74585,78478,79565
341,74804,78692,79782
342,75023,78913,80007
343,75243,79128,80231
344,75459,79344,80887
345,75688,79565,81108
346,75904,79783,81321
347,76118,80008,81506
348,76336,80230,81743
349,76556,80446,81955
350,76773,80663,82369
351,76987,80883,82573
352,77199,81104,82749
353,77411,81319,82977
354,77624,81534,83178
355,77833,81744,83383
356,78044,81954,83782
357,78261,82162,83982
358,78479,82368,84180
359,78692,82572,84578
360,78913,82774,85160
361,79128,82975,85354
362,79344,83175,85546
363,79565,83379,86128
364,79782,83583,86523
365,80007,83782,86722
366,80232,83982,86930
367,80887,84386,87143
368,81106,84576,87352
369,81319,85158,87563
370,81533,85330,87777
371,81743,85543,87991
372,81953,85735,88201
373,82166,85934,88421
374,82368,86127,88630
375,82572,86323,88839
376,82775,86522,89043
377,82976,86722,89246
378,83177,86930,89446
379,83381,87142,89648
380,83586,87352,89852
381,83782,87562,90052
382,83980,87777,90251
383,84181,87990,90453
384,84576,88175,90656
385,84967,88417,90858
386,85160,88626,91052
387,85354,88834,91466
388,85545,89039,91878
389,85739,89242,92315
390,85934,89444,92525
391,86127,89645,92733
392,86324,89847,92943
393,86522,90050,93152
394,86721,90250,93366
395,86929,90450,93559
396,87142,90652,93778
397,87351,90852,94177
398,87562,91051,94384
399,87776,91254,94580
400,87989,91463,94780
401,88200,91669,94990
402,88418,91876,95218
403,88629,92101,95847
404,88836,92314,96256
405,89042,92526,96463
406,89244,92733,96667
407,89445,92940,96864
408,89647,93151,97066
409,89851,93361,97275
410,90051,93568,97471
411,90251,93775,97675
412,90452,93979,98083
413,90655,94177,98692
414,90855,94382,98900
415,91052,94581,99111
416,91257,94781,99314
417,91466,94991,99723
418,91669,95218,99926
419,91878,95435,100129
420,92106,95638,100326
421,92315,95847,100522
422,92525,96051,100691
423,92733,96257,100886
424,92943,96459,101107
425,93152,96662,101300
426,93363,96864,101494
427,93570,97065,101682
428,93777,97268,101873
429,94178,97470,102062
430,94383,97673,102219
431,94581,97879,102439
432,94780,98082,102946
433,94990,98488,103101
434,95218,98691,103710
435,95438,98896,104067
436,95847,99107,104422
437,96054,99311,104750
438,96258,99517,105850
439,96462,99722,106202
440,96665,99924,106728
441,96865,100125,107058
442,97066,100323,107766
443,97272,100499,109230
444,97472,100695,109914
445,97675,101083,110121
446,97883,101302,111683
447,98083,101491,113141
448,98289,101680,114213
449,98692,101870,114391
450,98898,102058,114566
451,99110,102246,114914
452,99313,102438,115435
453,99521,102594,115965
454,99723,102946,116139
455,99926,103344,116316
456,100128,103525,116494
457,100325,103823,116670
458,100522,104065,116847
459,100719,104245,117171
460,100887,104423,117374
461,101107,104605,117547
462,101302,104781,117895
463,101492,104962,118414
464,101681,105139,118589
465,101872,105317,118763
466,102060,105494,119108
467,102248,105669,119281
468,102439,105846,119622
469,102591,106022,120126
470,102947,106198,120278
471,103165,106375,120482
472,103318,106551,120996
473,103527,106727,121341
474,103709,106905,122364
475,103888,107082,122705
476,104067,107582,123043
477,104220,108158,123216
478,104609,108754,123385
479,104784,109227,123555
480,104963,109403,123724
481,105142,109563,123894
482,105318,109936,124065
483,105497,110113,124400
484,105673,110289,124567
485,105849,110465,124736
486,106024,110641,125238
487,106201,110799,125917
488,106379,110997,126091
489,106728,111176,126453
490,106907,111352,
491,107058,111530,
492,107618,111708,
493,107793,111886,
494,107973,112064,
495,109231,112420,
496,109407,112599,
497,109585,112778,
498,109762,112959,
499,109914,113139,
500,110119,114210,
501,110292,114387,
502,110823,114562,
503,111353,114909,
504,111532,115787,
505,111712,115963,
506,111888,116139,
507,112066,116315,
508,112245,116493,
509,112396,116668,
510,113140,117193,
511,113319,117370,
512,113677,117543,
513,113856,117718,
514,114035,117891,
515,114212,118064,
516,114390,118237,
517,114563,118413,
518,114911,118760,
519,115435,118934,
520,115790,119106,
521,115964,119279,
522,116139,119620,
523,116316,119793,
524,116493,120136,
525,116669,120306,
526,116846,120478,
527,117170,120650,
528,117373,120996,
529,117546,121338,
530,117894,121849,
531,118414,122021,
532,118589,122530,
533,118762,122700,
534,118935,122871,
535,119108,123043,
536,119280,123215,
537,119623,123384,
538,119796,123553,
539,119970,123723,
540,120308,123892,
541,120479,124061,
542,120826,124229,
543,121168,124397,
544,121340,124564,
545,121491,124730,
546,122021,124898,
547,122194,125234,
548,122362,125404,
549,122703,125574,
550,122875,125745,
551,123043,125917,
552,123215,126196,
553,123385,126431,
554,123555,,
555,123725,,
556,123893,,
557,124063,,
558,124230,,
559,124399,,
560,124566,,
561,125237,,
562,125745,,
563,125917,,
564,126090,,
565,126453,,
